Tipo	Nome	Categorias
Rua	Victoria Sachetti Sapatieri	Pessoa,Mulher
Rua	Victorio Caprioli	Pessoa,Homem
Rua	Victorio Porto	Pessoa,Homem
Rua	Victorio Val	Pessoa,Homem
Rua	Visconde de Cairuz	Pessoa,Homem
Rua	Vitorio Cavassini	Pessoa,Homem
Rua	Vitorio Fadel	Pessoa,Homem
Rua	Vitorio Franciscani	Pessoa,Homem
Rua	Waldomiro José Pereira	Pessoa,Homem
Rua	Waldomiro Leite	Pessoa,Homem
Rua	Zacharias Natal Palazin	Pessoa,Homem
Avenida	da Saudade	Sentimento
Rua	das Azaléias	Flor
Rua	das Orquídeas	Flor
Rua	das Violetas	Flor
Rua	dos Apóstolos	Profissão
Rua	dos Ferroviarios	Profissão
Rua	dos Mestres	Profissão
